Ders Kodu,Ders Section,Ders Adı,Hoca,Saat
ME 301,ME 301.A,Deneysel Mühendislik,GÜNEY GÜVEN YAPICI,Salı 14:40 - 16:30
ME 311,ME 311.A,Mühendislik Mekaniği: Dinamik,REGAİP BARKAN UĞURLU,Salı 10:40 - 12:30 / Perşembe 08:40 - 10:30
ME 312,ME 312.A,Makina Sistemleri ve Kontrol,REGAİP BARKAN UĞURLU,Pazartesi 08:40 - 10:30 / Salı 08:40 - 10:30
ME 323,ME 323.A,Isı Transferi: İletim,MEHMED RAFET ÖZDEMİR,Pazartesi 10:40 - 12:30 / Çarşamba 10:40 - 12:30
ME 334,ME 334.A,Makina Tasarımı,POLAT ŞENDUR,Pazartesi 16:40 - 18:30 / Çarşamba 16:40 - 18:30
ME 415,ME 415.A,Veri Toplama ve Sayısal Kontrol,ÖZKAN BEBEK,Pazartesi 12:40 - 14:30 / Pazartesi 12:40 - 14:30 / Çarşamba 16:40 - 18:30 / Çarşamba 16:40 - 18:30
ME 435,ME 435.A,Malzemelerin Fiziksel Özellikleri,HANDE ÖZTÜRK KAYMAKSÜT,Salı 10:40 - 13:30
MGMT 202,MGMT 202.A,Örgütler,AYBİKE MERGEN,Perşembe 10:40 - 13:30
MGMT 202,MGMT 202.B,Örgütler,CEYDA MADEN EYİUSTA,Cuma 08:40 - 11:30
MGMT 202,MGMT 202.C,Örgütler,NERİMAN GÖKÇAY,Perşembe 10:40 - 13:30 / Perşembe 10:40 - 13:30
MGMT 311,MGMT 311.A,Proje Yönetimi,ERIK DEN HARTIGH,Salı 10:40 - 13:30
MGMT 314,MGMT 314.A,Örgütlerde Liderlik ve İnsan Yönetimi,AYBİKE MERGEN,Çarşamba 08:40 - 11:30
MGMT 401,MGMT 401.A,Teknoloji ve İnovasyon Yönetimi,ERIK DEN HARTIGH,Çarşamba 15:40 - 18:30
MGMT 402,MGMT 402.A,Strateji,ALPTEGİN ALBAYRAKTAROĞLU,Perşembe 10:40 - 13:30
MGMT 404,MGMT 404.A,Uluslararası Yönetim,NİLÜFER YAPICI,Salı 15:40 - 18:30
MGMT 405,MGMT 405.A,Bağımsız Araştırma - MGMT,CEYDA MADEN EYİUSTA,
MIS 100,MIS 100.A,Bilişim Teknolojilerine Giriş,YAVUZ SELİM HİNDİSTAN,Perşembe 11:40 - 13:30
MIS 103,MIS 103.A,Bilgisayar Programlamaya Giriş,YAVUZ SELİM HİNDİSTAN,Cuma 08:40 - 11:30
MIS 203,MIS 203.A,Veritabanı Yönetimi,Veritabanı Yönetimi,Salı 13:40 - 16:30
MIS 301,MIS 301.A,Kurumsal Bilgi Sistemleri,ORÇUN TEMİZKAN,Salı 13:40 - 16:30
MIS 305,MIS 305.A,İşletmelerde Dijital Dönüşüm,MELİKE NUR FINDIKOĞLU,Çarşamba 12:40 - 15:30
MIS 305,MIS 305.A,İşletmelerde Dijital Dönüşüm,MELİKE NUR FINDIKOĞLU,Çarşamba 12:40 - 15:30
MIS 309,MIS 309.A,Sistem Analizi ve Tasarımı,MELTEM ÖZTURAN,Salı 08:40 - 11:30
MIS 403,MIS 403.A,Bağımsız Araştırma - MIS,CEYDA MADEN EYİUSTA,
MIS 403,MIS 403.A,Bağımsız Araştırma - MIS,CEYDA MADEN EYİUSTA,
MKTG 201,MKTG 201.E,Pazarlama,CEREN HAYRAN ŞANLI,Salı 10:40 - 13:30
MKTG 201,MKTG 201.D,Pazarlama,CEREN HAYRAN ŞANLI,Çarşamba 12:40 - 15:30
MKTG 201,MKTG 201.B,Pazarlama,ZEYNEP MÜGE GÜZEL,Çarşamba 12:40 - 15:30
MKTG 201,MKTG 201.A,Pazarlama,ZEYNEP MÜGE GÜZEL,Pazartesi 13:40 - 16:30
MKTG 313,MKTG 313.A,Pazarlama Stratejileri,MÜNİR TOLGA AKÇURA,Pazartesi 15:40 - 18:30
MKTG 314,MKTG 314.A,Tüketici Davranışları,BİGE SAATÇİOĞLU,Çarşamba 08:40 - 11:30
MKTG 315,MKTG 315.A,Uluslararası Pazarlama,XIAOHAN WEN,Çarşamba 12:40 - 15:30
MKTG 322,MKTG 322.A,Marka Yönetimi,KIVILCIM DÖĞERLİOĞLU DEMİR,Çarşamba 09:40 - 12:30
MKTG 403,MKTG 403.A,Bağımsız Araştırma - MKTG,CEYDA MADEN EYİUSTA,
MKTG 416,MKTG 416.A,Kişisel Satış ve Satış Yönetimi,VOLKAN YENİARAS,Salı 10:40 - 13:30
MUSIC 103,MUSIC 103.A,Dünya Müzikleri,KAMİL ERDEM,Salı 15:40 - 18:30
OPER 202,OPER 202.B,Operasyon Yönetimi,AYŞE ÇETİNEL,Perşembe 18:40 - 19:30 / Pazartesi 08:40 - 11:30
